product_integrity_week_start, num_ff_desktop_en_us_questions
2018-12-30, 253
2019-01-06, 290
2019-01-13, 300
2019-01-20, 299
2019-01-27, 456
2019-02-03, 426
2019-02-10, 364
2019-02-17, 308
2019-02-24, 299
2019-03-03, 340
2019-03-10, 335
2019-03-17, 370
2019-03-24, 365
2019-03-31, 336
2019-04-07, 313
2019-04-14, 276
2019-04-21, 270
2019-04-28, 429
2019-05-05, 457
2019-05-12, 271
2019-05-19, 363
2019-05-26, 319
2019-06-02, 343
2019-06-09, 375
2019-06-16, 324
2019-06-23, 355
2019-06-30, 251
2019-07-07, 334
2019-07-14, 336
2019-07-21, 273
2019-07-28, 252
2019-08-04, 238
2019-08-11, 247
2019-08-18, 242
2019-08-25, 229
2019-09-01, 271
2019-09-08, 265
2019-09-15, 238
2019-09-22, 192
2019-09-29, 222
2019-10-06, 219
2019-10-13, 206
2019-10-20, 310
2019-10-27, 246
2019-11-03, 291
2019-11-10, 248
2019-11-17, 216
2019-11-24, 190
2019-12-01, 307
2019-12-08, 267
2019-12-15, 246
2019-12-22, 185
2019-12-29, 205
2020-01-05, 306
2020-01-12, 287
2020-01-19, 280
2020-01-26, 246
2020-02-02, 225
2020-02-09, 332
2020-02-16, 280
2020-02-23, 288
2020-03-01, 70
